team,oponente,data_partida,periodo,tipo,nome,starter,min_sec,fg_made,fg_att,fg_pct,fg3_made,fg3_att,fg3_pct,fg2_made,fg2_att,fg2_pct,ft_made,ft_att,ft_pct,reb_of,reb_def,reb_tot,ast,stl,blk,to,pf,site_tail
Minas,Cerrado,2023-06-22,Final,jogador,Danilo,0,1189,12,8,75.0,0,0,0.0,6,8,75.0,0,0,0.0,1,3,4,5,2,0,1,1,21
Minas,Cerrado,2023-06-22,Final,jogador,Rafael,0,366,3,1,100.0,0,0,0.0,1,1,100.0,1,2,50.0,0,0,0,1,1,0,0,1,4
Minas,Cerrado,2023-06-22,Final,jogador,Elvis,0,851,22,12,75.0,2,3,66.7,7,9,77.8,2,3,66.7,1,1,2,0,2,0,1,3,22
Minas,Cerrado,2023-06-22,Final,jogador,J. Prado,1,1307,15,10,70.0,0,1,0.0,7,9,77.8,1,2,50.0,1,3,4,10,2,0,1,2,25
Minas,Cerrado,2023-06-22,Final,jogador,Tiago,1,1168,17,8,87.5,3,4,75.0,4,4,100.0,0,0,0.0,3,5,8,2,0,0,0,0,25
Minas,Cerrado,2023-06-22,Final,jogador,Daniel,0,1166,5,6,33.3,1,5,20.0,1,1,100.0,0,0,0.0,0,2,2,0,0,0,0,1,1
Minas,Cerrado,2023-06-22,Final,jogador,Breno,1,1345,15,5,80.0,3,4,75.0,1,1,100.0,4,6,66.7,2,2,4,0,2,0,0,4,17
Minas,Cerrado,2023-06-22,Final,jogador,Kevin,0,218,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-2
Minas,Cerrado,2023-06-22,Final,jogador,Jordan,0,1282,2,4,0.0,0,1,0.0,0,3,0.0,2,2,100.0,3,5,8,1,0,0,1,1,5
Minas,Cerrado,2023-06-22,Final,jogador,Yuri,1,1289,10,10,50.0,0,0,0.0,5,10,50.0,0,0,0.0,3,4,7,1,1,0,0,1,13
Minas,Cerrado,2023-06-22,Final,jogador,Diarra,1,804,6,5,60.0,0,0,0.0,3,5,60.0,0,1,0.0,2,6,8,0,0,1,4,1,10
Minas,Cerrado,2023-06-22,Final,jogador,Fernando,0,1015,12,8,50.0,2,4,50.0,2,4,50.0,2,4,50.0,0,3,3,0,0,0,0,2,6
Minas,Cerrado,2023-06-22,Final,total,Total,0,0,119,80,60.0,11,25,44.0,37,55,67.3,12,20,60.0,20,39,59,21,10,1,8,17,156
Minas,Cerrado,2023-06-22,Q1,jogador,Danilo,0,207,2,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,1,1,0,0,0,0,1,3
Minas,Cerrado,2023-06-22,Q1,jogador,Rafael,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Minas,Cerrado,2023-06-22,Q1,jogador,Elvis,0,192,2,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0,0,1,0,0,0,3
Minas,Cerrado,2023-06-22,Q1,jogador,J. Prado,1,393,2,3,33.3,0,1,0.0,1,2,50.0,0,0,0.0,0,2,2,4,0,0,0,0,6
Minas,Cerrado,2023-06-22,Q1,jogador,Tiago,1,393,5,2,100.0,1,1,100.0,1,1,100.0,0,0,0.0,0,2,2,0,0,0,0,0,7
Minas,Cerrado,2023-06-22,Q1,jogador,Daniel,0,184,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1
Minas,Cerrado,2023-06-22,Q1,jogador,Breno,1,431,6,3,66.7,2,3,66.7,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,6
Minas,Cerrado,2023-06-22,Q1,jogador,Kevin,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Minas,Cerrado,2023-06-22,Q1,jogador,Jordan,0,396,2,1,0.0,0,0,0.0,0,1,0.0,2,2,100.0,0,1,1,0,0,0,1,1,2
Minas,Cerrado,2023-06-22,Q1,jogador,Yuri,1,471,6,4,75.0,0,0,0.0,3,4,75.0,0,0,0.0,1,4,5,1,0,0,0,1,11
Minas,Cerrado,2023-06-22,Q1,jogador,Diarra,1,204,4,2,100.0,0,0,0.0,2,2,100.0,0,1,0.0,0,2,2,0,0,1,2,1,6
Minas,Cerrado,2023-06-22,Q1,jogador,Fernando,0,129,4,1,100.0,0,0,0.0,1,1,100.0,2,2,100.0,0,1,1,0,0,0,0,1,4
Minas,Cerrado,2023-06-22,Q1,total,Total,0,0,33,18,72.2,3,5,60.0,10,13,76.9,4,5,80.0,1,14,15,5,2,1,3,5,47
Minas,Cerrado,2023-06-22,Q2,jogador,Danilo,0,382,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,1,3,0,0,0,0,3
Minas,Cerrado,2023-06-22,Q2,jogador,Rafael,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Minas,Cerrado,2023-06-22,Q2,jogador,Elvis,0,286,12,5,80.0,2,2,100.0,2,3,66.7,2,2,100.0,1,0,1,0,0,0,1,1,12
Minas,Cerrado,2023-06-22,Q2,jogador,J. Prado,1,314,2,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0,2,0,0,1,1,2
Minas,Cerrado,2023-06-22,Q2,jogador,Tiago,1,314,5,3,66.7,1,2,50.0,1,1,100.0,0,0,0.0,2,0,2,2,0,0,0,0,8
Minas,Cerrado,2023-06-22,Q2,jogador,Daniel,0,382,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0
Minas,Cerrado,2023-06-22,Q2,jogador,Breno,1,314,5,1,100.0,0,0,0.0,1,1,100.0,3,4,75.0,1,1,2,0,1,0,0,2,7
Minas,Cerrado,2023-06-22,Q2,jogador,Kevin,0,218,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-2
Minas,Cerrado,2023-06-22,Q2,jogador,Jordan,0,286,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,1
Minas,Cerrado,2023-06-22,Q2,jogador,Yuri,1,218,2,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0,0,1,0,0,0,3
Minas,Cerrado,2023-06-22,Q2,jogador,Diarra,1,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Minas,Cerrado,2023-06-22,Q2,jogador,Fernando,0,286,2,2,50.0,0,1,0.0,1,1,100.0,0,2,0.0,0,2,2,0,0,0,0,1,1
Minas,Cerrado,2023-06-22,Q2,total,Total,0,0,28,19,52.6,3,10,30.0,7,9,77.8,5,8,62.5,5,7,12,8,2,0,2,5,35
Minas,Cerrado,2023-06-22,Q3,jogador,Danilo,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Minas,Cerrado,2023-06-22,Q3,jogador,Rafael,0,139,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Minas,Cerrado,2023-06-22,Q3,jogador,Elvis,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Minas,Cerrado,2023-06-22,Q3,jogador,J. Prado,1,600,11,6,83.3,0,0,0.0,5,6,83.3,1,2,50.0,1,1,2,4,2,0,0,1,17
Minas,Cerrado,2023-06-22,Q3,jogador,Tiago,1,461,7,3,100.0,1,1,100.0,2,2,100.0,0,0,0.0,1,3,4,0,0,0,0,0,10
Minas,Cerrado,2023-06-22,Q3,jogador,Daniel,0,600,5,4,50.0,1,3,33.3,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,1,2
Minas,Cerrado,2023-06-22,Q3,jogador,Breno,1,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Minas,Cerrado,2023-06-22,Q3,jogador,Kevin,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Minas,Cerrado,2023-06-22,Q3,jogador,Jordan,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Minas,Cerrado,2023-06-22,Q3,jogador,Yuri,1,600,2,5,20.0,0,0,0.0,1,5,20.0,0,0,0.0,2,0,2,0,0,0,0,0,-1
Minas,Cerrado,2023-06-22,Q3,jogador,Diarra,1,600,2,3,33.3,0,0,0.0,1,3,33.3,0,0,0.0,2,4,6,0,0,0,2,0,4
Minas,Cerrado,2023-06-22,Q3,jogador,Fernando,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Minas,Cerrado,2023-06-22,Q3,total,Total,0,0,27,21,57.1,2,4,50.0,10,17,58.8,1,2,50.0,6,8,14,4,2,0,2,2,32
Minas,Cerrado,2023-06-22,Q4,jogador,Danilo,0,600,10,6,83.3,0,0,0.0,5,6,83.3,0,0,0.0,1,1,2,2,2,0,1,0,15
Minas,Cerrado,2023-06-22,Q4,jogador,Rafael,0,227,3,1,100.0,0,0,0.0,1,1,100.0,1,2,50.0,0,0,0,1,1,0,0,1,4
Minas,Cerrado,2023-06-22,Q4,jogador,Elvis,0,373,8,6,66.7,0,1,0.0,4,5,80.0,0,1,0.0,0,1,1,0,1,0,0,2,7
Minas,Cerrado,2023-06-22,Q4,jogador,J. Prado,1,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Minas,Cerrado,2023-06-22,Q4,jogador,Tiago,1,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Minas,Cerrado,2023-06-22,Q4,jogador,Daniel,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Minas,Cerrado,2023-06-22,Q4,jogador,Breno,1,600,4,1,100.0,1,1,100.0,0,0,0.0,1,2,50.0,1,0,1,0,0,0,0,2,4
Minas,Cerrado,2023-06-22,Q4,jogador,Kevin,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Minas,Cerrado,2023-06-22,Q4,jogador,Jordan,0,600,0,3,0.0,0,1,0.0,0,2,0.0,0,0,0.0,2,3,5,1,0,0,0,0,2
Minas,Cerrado,2023-06-22,Q4,jogador,Yuri,1,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Minas,Cerrado,2023-06-22,Q4,jogador,Diarra,1,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Minas,Cerrado,2023-06-22,Q4,jogador,Fernando,0,600,6,5,40.0,2,3,66.7,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1
Minas,Cerrado,2023-06-22,Q4,total,Total,0,0,31,22,59.1,3,6,50.0,10,16,62.5,2,5,40.0,4,5,9,4,4,0,1,5,33
Cerrado,Minas,2023-06-22,Final,jogador,Motta,1,973,5,6,33.3,1,3,33.3,1,3,33.3,0,0,0.0,0,3,3,2,1,0,0,2,6
Cerrado,Minas,2023-06-22,Final,jogador,Gui Amorim,0,804,5,7,14.3,1,7,14.3,0,0,0.0,2,3,66.7,0,0,0,0,0,0,3,2,-4
Cerrado,Minas,2023-06-22,Final,jogador,Dalmagro,0,873,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,1,0,-1
Cerrado,Minas,2023-06-22,Final,jogador,Matheus Miranda,0,767,0,3,0.0,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,1,0,-3
Cerrado,Minas,2023-06-22,Final,jogador,Fernando,0,868,2,5,20.0,0,0,0.0,1,5,20.0,0,0,0.0,3,0,3,0,1,1,4,0,2
Cerrado,Minas,2023-06-22,Final,jogador,Magno Faria,1,1144,4,9,22.2,0,3,0.0,2,6,33.3,0,0,0.0,1,1,2,0,2,0,2,0,1
Cerrado,Minas,2023-06-22,Final,jogador,Alex Davi,0,1363,8,9,44.4,0,1,0.0,4,8,50.0,0,0,0.0,2,4,6,1,0,0,0,0,6
Cerrado,Minas,2023-06-22,Final,jogador,Rubens Neto,0,477,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0
Cerrado,Minas,2023-06-22,Final,jogador,Pyerri,1,1336,14,13,53.8,0,0,0.0,7,13,53.8,0,3,0.0,3,2,5,0,1,0,3,2,11
Cerrado,Minas,2023-06-22,Final,jogador,Lins,1,1262,5,11,18.2,1,5,20.0,1,6,16.7,0,0,0.0,0,1,1,0,2,0,1,0,-4
Cerrado,Minas,2023-06-22,Final,jogador,Gabi Lopes,1,752,5,7,28.6,1,4,25.0,1,3,33.3,0,0,0.0,2,2,4,0,0,0,2,0,3
Cerrado,Minas,2023-06-22,Final,jogador,Crysthian,0,1381,2,4,0.0,0,2,0.0,0,2,0.0,2,2,100.0,1,2,3,2,0,1,0,1,1
Cerrado,Minas,2023-06-22,Final,total,Total,0,0,50,76,27.6,4,29,13.8,17,47,36.2,4,8,50.0,17,18,35,7,7,2,17,8,23
Cerrado,Minas,2023-06-22,Q1,jogador,Motta,1,329,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,1,1
Cerrado,Minas,2023-06-22,Q1,jogador,Gui Amorim,0,181,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-2
Cerrado,Minas,2023-06-22,Q1,jogador,Dalmagro,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Cerrado,Minas,2023-06-22,Q1,jogador,Matheus Miranda,0,138,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1
Cerrado,Minas,2023-06-22,Q1,jogador,Fernando,0,129,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,2,0,-1
Cerrado,Minas,2023-06-22,Q1,jogador,Magno Faria,1,467,2,3,33.3,0,1,0.0,1,2,50.0,0,0,0.0,1,0,1,0,0,0,0,0,1
Cerrado,Minas,2023-06-22,Q1,jogador,Alex Davi,0,219,0,3,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-5
Cerrado,Minas,2023-06-22,Q1,jogador,Rubens Neto,0,133,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-1
Cerrado,Minas,2023-06-22,Q1,jogador,Pyerri,1,385,0,2,0.0,0,0,0.0,0,2,0.0,0,2,0.0,1,0,1,0,0,0,1,1,-3
Cerrado,Minas,2023-06-22,Q1,jogador,Lins,1,406,0,3,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0,0,1,0,1,0,-3
Cerrado,Minas,2023-06-22,Q1,jogador,Gabi Lopes,1,303,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,-2
Cerrado,Minas,2023-06-22,Q1,jogador,Crysthian,0,310,0,3,0.0,0,1,0.0,0,2,0.0,0,0,0.0,1,1,2,0,0,0,0,0,-1
Cerrado,Minas,2023-06-22,Q1,total,Total,0,0,2,23,4.3,0,11,0.0,1,12,8.3,0,2,0.0,4,3,7,1,1,0,5,3,-17
Cerrado,Minas,2023-06-22,Q2,jogador,Motta,1,487,5,4,50.0,1,2,50.0,1,2,50.0,0,0,0.0,0,1,1,1,1,0,0,1,6
Cerrado,Minas,2023-06-22,Q2,jogador,Gui Amorim,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Cerrado,Minas,2023-06-22,Q2,jogador,Dalmagro,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Cerrado,Minas,2023-06-22,Q2,jogador,Matheus Miranda,0,113,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Cerrado,Minas,2023-06-22,Q2,jogador,Fernando,0,173,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,1,0,1,0,0,0,1,0,-1
Cerrado,Minas,2023-06-22,Q2,jogador,Magno Faria,1,427,2,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,1,0,2
Cerrado,Minas,2023-06-22,Q2,jogador,Alex Davi,0,461,2,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,1,1,1,0,0,0,0,4
Cerrado,Minas,2023-06-22,Q2,jogador,Rubens Neto,0,173,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Cerrado,Minas,2023-06-22,Q2,jogador,Pyerri,1,427,6,5,60.0,0,0,0.0,3,5,60.0,0,0,0.0,1,1,2,0,0,0,1,0,6
Cerrado,Minas,2023-06-22,Q2,jogador,Lins,1,199,0,3,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-2
Cerrado,Minas,2023-06-22,Q2,jogador,Gabi Lopes,1,199,5,5,40.0,1,2,50.0,1,3,33.3,0,0,0.0,1,1,2,0,0,0,2,0,4
Cerrado,Minas,2023-06-22,Q2,jogador,Crysthian,0,341,2,0,,0,0,0.0,0,0,0.0,2,2,100.0,0,1,1,0,0,1,0,1,2
Cerrado,Minas,2023-06-22,Q2,total,Total,0,0,22,22,40.9,2,5,40.0,7,17,41.2,2,2,100.0,3,7,10,2,1,1,5,2,21
Cerrado,Minas,2023-06-22,Q3,jogador,Motta,1,157,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1
Cerrado,Minas,2023-06-22,Q3,jogador,Gui Amorim,0,443,5,4,25.0,1,4,25.0,0,0,0.0,2,3,66.7,0,0,0,0,0,0,0,2,0
Cerrado,Minas,2023-06-22,Q3,jogador,Dalmagro,0,350,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1
Cerrado,Minas,2023-06-22,Q3,jogador,Matheus Miranda,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Cerrado,Minas,2023-06-22,Q3,jogador,Fernando,0,350,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,1,0,1,0,1,1,1,0,1
Cerrado,Minas,2023-06-22,Q3,jogador,Magno Faria,1,250,0,4,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,2,0,1,0,-2
Cerrado,Minas,2023-06-22,Q3,jogador,Alex Davi,0,350,4,2,100.0,0,0,0.0,2,2,100.0,0,0,0.0,0,1,1,0,0,0,0,0,5
Cerrado,Minas,2023-06-22,Q3,jogador,Rubens Neto,0,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Cerrado,Minas,2023-06-22,Q3,jogador,Pyerri,1,250,2,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,0,0,0,0,1,0,0,0,2
Cerrado,Minas,2023-06-22,Q3,jogador,Lins,1,157,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1
Cerrado,Minas,2023-06-22,Q3,jogador,Gabi Lopes,1,250,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1
Cerrado,Minas,2023-06-22,Q3,jogador,Crysthian,0,443,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0
Cerrado,Minas,2023-06-22,Q3,total,Total,0,0,11,14,28.6,1,7,14.3,3,7,42.9,2,3,66.7,1,2,3,1,4,1,2,2,4
Cerrado,Minas,2023-06-22,Q4,jogador,Motta,1,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Cerrado,Minas,2023-06-22,Q4,jogador,Gui Amorim,0,180,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,0,-2
Cerrado,Minas,2023-06-22,Q4,jogador,Dalmagro,0,523,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,1,0,0
Cerrado,Minas,2023-06-22,Q4,jogador,Matheus Miranda,0,516,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,1,0,-2
Cerrado,Minas,2023-06-22,Q4,jogador,Fernando,0,216,2,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,1,0,1,0,0,0,0,0,3
Cerrado,Minas,2023-06-22,Q4,jogador,Magno Faria,1,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Cerrado,Minas,2023-06-22,Q4,jogador,Alex Davi,0,333,2,3,33.3,0,0,0.0,1,3,33.3,0,0,0.0,2,2,4,0,0,0,0,0,2
Cerrado,Minas,2023-06-22,Q4,jogador,Rubens Neto,0,171,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1
Cerrado,Minas,2023-06-22,Q4,jogador,Pyerri,1,274,6,4,75.0,0,0,0.0,3,4,75.0,0,1,0.0,1,1,2,0,0,0,1,1,6
Cerrado,Minas,2023-06-22,Q4,jogador,Lins,1,500,5,4,50.0,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,0,1,0,0,0,2
Cerrado,Minas,2023-06-22,Q4,jogador,Gabi Lopes,1,0,0,0,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
Cerrado,Minas,2023-06-22,Q4,jogador,Crysthian,0,287,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0
Cerrado,Minas,2023-06-22,Q4,total,Total,0,0,15,17,41.2,1,6,16.7,6,11,54.5,0,1,0.0,5,4,9,3,1,0,5,1,10
